gene_ID	day_4_vs_day_2_baseMean	day_4_vs_day_2_log2FoldChange	day_4_vs_day_2_lfcSE	day_4_vs_day_2_stat	day_4_vs_day_2_pvalue	day_4_vs_day_2_padj	day_4_vs_day_2_n_zeros
ENSG00000164880	2910	-0.139	0.107	-1.3	0.194	0.454	0
ENSG00000225981	1.89	0.68	1.67	0.406	0.685		0
ENSG00000164850	6.01	3.79	1.38	2.74	0.00608		1
ENSG00000164849	30.1	0.576	0.487	1.18	0.237	0.508	0
ENSG00000146540	982	0.299	0.131	2.28	0.0224	0.115	0
ENSG00000105963	9.39	0.632	0.789	0.801	0.423	0.692	0
ENSG00000273151	2.75	0.998	1.42	0.703	0.482		0
ENSG00000164828	2610	-0.119	0.105	-1.13	0.259	0.535	0
ENSG00000164818	1190	-0.0475	0.113	-0.419	0.675	0.86	0
ENSG00000160404	176	0.101	0.201	0.501	0.616	0.825	0
ENSG00000188191	814	-0.365	0.151	-2.42	0.0155	0.0883	0
ENSG00000223855	23.6	0.392	0.61	0.643	0.52	0.763	0
ENSG00000249574	29.1	0.691	0.457	1.51	0.13	0.36	0
ENSG00000287342	1.09	1.53	2.33	0.657	0.511		2
ENSG00000240859	19.4	-0.199	0.536	-0.372	0.71	0.876	0
ENSG00000260193	7.45	0.545	0.881	0.619	0.536		0
ENSG00000071994	2030	-0.49	0.111	-4.43	9.36e-06	0.000214	0
ENSG00000112592	610	0.0552	0.138	0.4	0.689	0.867	0
ENSG00000271234	1.99	0.868	1.74	0.5	0.617		1
ENSG00000198719	453	1.46	0.181	8.04	8.7e-16	1.1e-13	0
ENSG00000230844	117	-0.0498	0.253	-0.196	0.844	0.94	0
ENSG00000231690	20.7	-0.731	0.542	-1.35	0.177	0.429	0
ENSG00000130023	119	0.263	0.24	1.1	0.272	0.549	0
ENSG00000184786	161	-0.0547	0.236	-0.232	0.817	0.929	0
ENSG00000227704	50.4	-0.0612	0.383	-0.16	0.873	0.953	0
ENSG00000272848	10.6	0.692	0.721	0.96	0.337	0.615	0
ENSG00000285887	11.6	0.249	0.765	0.326	0.745	0.893	0
ENSG00000226194	4.82	1.48	1.11	1.33	0.184		0
ENSG00000226445	7.13	0.152	0.869	0.175	0.861		0
ENSG00000153303	18.3	0.793	0.604	1.31	0.189	0.448	0
ENSG00000125337	41.7	1.78	0.438	4.06	4.92e-05	0.000914	0
ENSG00000229921	43.6	0.568	0.392	1.45	0.147	0.388	0
ENSG00000235994	3.9	1.49	1.34	1.11	0.267		1
ENSG00000148358	2640	0.146	0.109	1.35	0.178	0.429	0
ENSG00000203688	1.3	0.201	2.05	0.0978	0.922		1
ENSG00000287594	16.1	0.119	0.635	0.187	0.851	0.944	0
ENSG00000228648	1.44	-0.668	1.9	-0.351	0.726		1
ENSG00000280707	486	-1.77	0.166	-10.6	2.79e-26	8.4e-24	0
ENSG00000254936	153	-0.166	0.606	-0.273	0.785	0.913	0
ENSG00000291286	4.81	0.775	1.14	0.682	0.495		0
ENSG00000112486	3	-1.22	1.39	-0.879	0.38		0
ENSG00000213066	2680	-0.154	0.148	-1.04	0.296	0.575	0
ENSG00000285730	31.2	-0.477	0.607	-0.786	0.432	0.698	0
ENSG00000227598	5.12	-1.12	1.12	-1	0.316		0
ENSG00000026297	1050	0.293	0.165	1.78	0.0751	0.256	0
ENSG00000235272	76.5	0.156	0.344	0.452	0.651	0.847	0
ENSG00000071242	724	-0.177	0.129	-1.37	0.17	0.419	0
ENSG00000287189	1.52	-0.166	2.04	-0.0816	0.935		2
ENSG00000176381	1.13	-0.178	2.14	-0.0833	0.934		1
ENSG00000164458	5.99	0.314	0.965	0.325	0.745		0
ENSG00000270419	13.2	0.263	0.663	0.396	0.692	0.868	0
ENSG00000285564	1.28	-2.36	2.29	-1.03	0.304		2
ENSG00000085511	2740	-0.246	0.11	-2.25	0.0248	0.123	0
ENSG00000119403	354	-0.548	0.164	-3.34	0.000852	0.00969	0
ENSG00000233342	1.07	0.613	2.32	0.265	0.791		2
ENSG00000288873	16.4	0.747	0.597	1.25	0.211	0.475	0
ENSG00000253361	44.4	0.503	0.405	1.24	0.214	0.479	0
ENSG00000292246	533	0.845	0.208	4.06	4.86e-05	0.000907	0
ENSG00000102001	46.4	0.706	0.372	1.9	0.058	0.217	0
ENSG00000290613	48.5	0.00351	0.344	0.0102	0.992	0.997	0
ENSG00000146477	53.5	-0.65	0.344	-1.89	0.059	0.219	0
ENSG00000175003	1.48	-2.37	2.17	-1.09	0.276		1
ENSG00000120438	7990	-0.404	0.138	-2.94	0.00333	0.028	0
ENSG00000291237	1990	-0.187	0.124	-1.51	0.132	0.363	0
ENSG00000164694	12.5	-0.853	0.69	-1.24	0.216	0.483	0
ENSG00000285492	2.55	0.322	1.38	0.232	0.816		0
ENSG00000130363	240	0.253	0.184	1.37	0.17	0.418	0
ENSG00000268926	6.02	-0.248	0.951	-0.261	0.794		0
ENSG00000241343	24400	0.124	0.176	0.701	0.483	0.736	0
ENSG00000272047	851	0.536	0.152	3.52	0.00043	0.0056	0
ENSG00000130340	1600	-0.389	0.114	-3.42	0.000634	0.00765	0
ENSG00000175048	204	-0.015	0.187	-0.0801	0.936	0.976	0
ENSG00000271040	0.95	-0.462	2.45	-0.189	0.85		2
ENSG00000215712	442	-0.169	0.165	-1.02	0.308	0.587	0
ENSG00000288910	32.1	-0.0549	0.562	-0.0977	0.922	0.971	0
ENSG00000271265	2.22	-1.38	1.68	-0.82	0.412		0
ENSG00000235381	149	-0.424	0.247	-1.72	0.0855	0.278	0
ENSG00000286000	1.81	1.52	2.05	0.743	0.458		2
ENSG00000146426	801	0.078	0.138	0.563	0.573	0.799	0
ENSG00000287260	5.14	-0.169	1	-0.169	0.866		0
ENSG00000153721	647	-0.184	0.143	-1.29	0.198	0.46	0
ENSG00000074706	10.5	0.38	0.73	0.52	0.603	0.816	0
ENSG00000112031	900	-0.365	0.125	-2.91	0.00359	0.0296	0
ENSG00000227627	81.6	0.433	0.343	1.26	0.206	0.469	0
ENSG00000112029	1450	-0.202	0.118	-1.72	0.0862	0.28	0
ENSG00000120279	39.6	3.03	0.594	5.1	3.35e-07	1.13e-05	0
ENSG00000091831	3.77	-0.322	1.38	-0.234	0.815		1
ENSG00000146476	2940	-0.31	0.134	-2.31	0.021	0.11	0
ENSG00000131016	10900	0.0843	0.106	0.798	0.425	0.693	0
ENSG00000009765	1.89	0.489	1.74	0.282	0.778		1
ENSG00000198729	3.27	-3.06	1.71	-1.79	0.0731		1
ENSG00000290917	11.6	0.67	0.713	0.939	0.348	0.625	0
ENSG00000231212	1.49	-2.51	2.12	-1.18	0.236		1
ENSG00000111981	8.14	0.835	0.863	0.968	0.333	0.611	0
ENSG00000203722	1.57	-0.225	1.89	-0.119	0.905		0
ENSG00000120256	447	-0.231	0.157	-1.47	0.143	0.38	0
ENSG00000120265	1680	-0.0159	0.139	-0.115	0.908	0.965	0
ENSG00000131023	1680	0.089	0.107	0.833	0.405	0.678	0
ENSG00000055211	675	-0.0883	0.129	-0.683	0.494	0.744	0
ENSG00000131013	2530	-0.0113	0.109	-0.103	0.918	0.969	0
ENSG00000177688	22.9	0.529	0.567	0.933	0.351	0.629	0
ENSG00000055208	3080	-0.125	0.104	-1.21	0.228	0.497	0
ENSG00000164506	856	0.351	0.176	2	0.0456	0.186	0
ENSG00000233452	11.9	0.555	0.717	0.775	0.438	0.703	0
ENSG00000118492	0.839	-2.61	2.68	-0.976	0.329		2
ENSG00000118508	42	0.406	0.386	1.05	0.294	0.573	0
ENSG00000146414	2970	-0.0319	0.116	-0.275	0.783	0.912	0
ENSG00000235652	22	0.218	0.514	0.423	0.672	0.858	0
ENSG00000102128	2.69	-1.2	1.84	-0.653	0.514		2
ENSG00000118496	2490	-0.0442	0.107	-0.413	0.679	0.862	0
ENSG00000288551	2.68	-0.00697	1.46	-0.00476	0.996		1
ENSG00000112425	308	0.0373	0.175	0.212	0.832	0.936	0
ENSG00000283122	7.67	-0.897	0.95	-0.944	0.345	0.622	0
ENSG00000112419	5520	-0.853	0.107	-7.96	1.79e-15	2.14e-13	0
ENSG00000001036	705	-0.229	0.18	-1.28	0.202	0.465	0
ENSG00000189007	597	0.121	0.152	0.795	0.427	0.695	0
ENSG00000229017	1.68	-0.288	1.94	-0.148	0.882		1
ENSG00000249375	1.33	1.83	2.08	0.879	0.379		1
ENSG00000232618	20.4	0.251	0.546	0.46	0.646	0.843	0
ENSG00000010818	1680	-0.0154	0.11	-0.139	0.889	0.958	0
ENSG00000112414	117	0.0386	0.257	0.151	0.88	0.955	0
ENSG00000234147	1.53	1.51	2.11	0.718	0.473		1
ENSG00000156298	108	0.206	0.29	0.71	0.477	0.732	0
ENSG00000164442	5770	0.341	0.15	2.27	0.0233	0.118	0
ENSG00000226571	2.18	-0.391	1.58	-0.247	0.805		0
ENSG00000024862	248	0.0355	0.192	0.185	0.853	0.945	0
ENSG00000225177	43.6	-0.405	0.367	-1.1	0.27	0.547	0
ENSG00000051620	933	0.352	0.125	2.81	0.00493	0.0378	0
ENSG00000118503	108	-0.161	0.263	-0.61	0.542	0.779	0
ENSG00000175895	337	-0.131	0.162	-0.811	0.417	0.688	0
ENSG00000182747	7.59	-0.845	0.952	-0.887	0.375	0.652	0
ENSG00000135525	2540	-0.231	0.147	-1.58	0.115	0.335	0
ENSG00000146410	174	-0.283	0.219	-1.29	0.196	0.457	0
ENSG00000246145	31.7	-0.00301	0.455	-0.00663	0.995	0.998	0
ENSG00000135541	1200	0.075	0.179	0.42	0.675	0.859	0
ENSG00000112339	3260	-0.0209	0.132	-0.158	0.875	0.954	0
ENSG00000028839	921	-0.0688	0.154	-0.446	0.656	0.85	0
ENSG00000118526	8.59	-0.105	0.805	-0.13	0.896	0.96	0
ENSG00000227954	2.57	-2.17	1.9	-1.14	0.255		2
ENSG00000182307	1230	-0.0304	0.134	-0.228	0.82	0.93	0
ENSG00000112319	1.97	-0.416	1.65	-0.252	0.801		0
ENSG00000231023	2.86	0.0195	1.39	0.014	0.989		0
ENSG00000146409	211	-0.329	0.19	-1.73	0.0841	0.276	0
ENSG00000122729	1310	-0.0479	0.131	-0.365	0.715	0.879	0
ENSG00000079950	1860	0.137	0.112	1.22	0.222	0.489	0
ENSG00000170925	5.71	-1.27	1.11	-1.15	0.252		0
ENSG00000228495	118	-0.691	0.243	-2.85	0.00441	0.0346	0
ENSG00000197594	846	-0.47	0.129	-3.63	0.000284	0.00401	0
ENSG00000112282	893	0.154	0.122	1.26	0.206	0.469	0
ENSG00000118507	147	-0.0237	0.211	-0.112	0.911	0.966	0
ENSG00000158516	1.33	1.29	2.21	0.583	0.56		2
ENSG00000164484	474	-0.0127	0.144	-0.088	0.93	0.974	0
ENSG00000146376	332	0.273	0.167	1.63	0.102	0.312	0
ENSG00000130826	5390	-0.397	0.118	-3.36	0.000778	0.009	0
ENSG00000226149	2.4	1.21	1.54	0.785	0.433		0
ENSG00000289190	3.26	-0.672	1.34	-0.5	0.617		0
ENSG00000189367	219	0.0374	0.187	0.2	0.842	0.939	0
ENSG00000146374	28.9	3.18	0.608	5.23	1.74e-07	6.19e-06	0
ENSG00000203760	1040	0.0756	0.147	0.513	0.608	0.819	0
ENSG00000111912	556	0.0338	0.145	0.234	0.815	0.928	0
ENSG00000135547	525	-1.46	0.153	-9.57	1.11e-21	2.36e-19	0
ENSG00000226409	9.23	-2.25	0.912	-2.47	0.0136	0.0795	0
ENSG00000111906	2250	-0.0772	0.151	-0.511	0.609	0.82	0
ENSG00000111907	303	0.479	0.168	2.85	0.00432	0.0342	0
ENSG00000146373	855	0.174	0.124	1.41	0.16	0.406	0
ENSG00000188580	1.76	-3.26	2.19	-1.49	0.136		2
ENSG00000106299	3440	-0.355	0.1	-3.54	0.000396	0.00521	0
ENSG00000172594	21.8	-0.683	0.53	-1.29	0.197	0.459	0
ENSG00000164434	27.6	-0.181	0.464	-0.391	0.696	0.87	0
ENSG00000287100	5.56	-1.12	1.06	-1.06	0.291		0
ENSG00000111879	1130	1.04	0.139	7.5	6.24e-14	6.69e-12	0
ENSG00000253194	1.39	-2.75	2.3	-1.2	0.232		2
ENSG00000111877	704	-0.0212	0.133	-0.16	0.873	0.953	0
ENSG00000111860	295	-0.177	0.171	-1.03	0.301	0.581	0
ENSG00000153989	3490	-0.301	0.119	-2.52	0.0117	0.071	0
ENSG00000164465	234	0.0221	0.181	0.122	0.903	0.962	0
ENSG00000111834	32.8	0.453	0.422	1.07	0.284	0.562	0
ENSG00000189241	2610	-0.179	0.117	-1.52	0.128	0.356	0
ENSG00000178425	1860	0.159	0.117	1.35	0.176	0.428	0
ENSG00000289376	1.36	0.585	2.06	0.285	0.776		1
ENSG00000196591	11800	-0.132	0.104	-1.27	0.206	0.469	0
ENSG00000277443	7070	-0.107	0.15	-0.714	0.475	0.731	0
ENSG00000223969	18.1	0.533	0.622	0.857	0.392	0.666	0
ENSG00000251258	1.58	0.902	1.97	0.457	0.648		2
ENSG00000074935	281	-0.0976	0.175	-0.557	0.577	0.802	0
ENSG00000010810	1780	-0.0948	0.107	-0.885	0.376	0.653	0
ENSG00000231889	338	0.275	0.159	1.73	0.0845	0.277	0
ENSG00000254180	2.96	-0.221	1.54	-0.144	0.886		1
ENSG00000272356	108	-0.141	0.246	-0.571	0.568	0.796	0
ENSG00000112394	575	-1.28	0.14	-9.13	6.61e-20	1.14e-17	0
ENSG00000197498	2730	-0.41	0.124	-3.32	0.000914	0.0102	0
ENSG00000155115	1110	-0.308	0.16	-1.92	0.0546	0.209	0
ENSG00000123505	6330	-0.465	0.104	-4.46	8.26e-06	0.000192	0
ENSG00000155111	652	0.368	0.131	2.8	0.00512	0.0389	0
ENSG00000175283	436	-0.442	0.197	-2.24	0.0248	0.123	0
ENSG00000112290	726	-0.0266	0.131	-0.204	0.839	0.939	0
ENSG00000286691	1.22	-0.0969	2.23	-0.0435	0.965		1
ENSG00000112367	1790	0.134	0.125	1.08	0.281	0.559	0
ENSG00000155085	63.3	-0.108	0.337	-0.321	0.748	0.895	0
ENSG00000112365	2440	-0.249	0.121	-2.06	0.0395	0.168	0
ENSG00000135587	183	0.0169	0.208	0.0813	0.935	0.976	0
ENSG00000185250	23.2	0.0411	0.497	0.0825	0.934	0.976	0
ENSG00000260273	5.48	-0.593	1.06	-0.56	0.576		0
ENSG00000135535	2580	-0.0598	0.11	-0.546	0.585	0.806	0
ENSG00000118690	134	0.414	0.243	1.71	0.0874	0.283	0
ENSG00000112335	2050	-0.326	0.115	-2.84	0.00451	0.0352	0
ENSG00000025796	2220	-0.0768	0.104	-0.74	0.459	0.719	0
ENSG00000176595	479	0.654	0.161	4.05	5.05e-05	0.000933	0
ENSG00000289433	39.4	0.0826	0.401	0.206	0.837	0.937	0
ENSG00000272398	58200	-0.546	0.129	-4.23	2.32e-05	0.000471	0
ENSG00000130348	1520	-0.385	0.141	-2.73	0.00635	0.0458	0
ENSG00000112297	978	-0.14	0.128	-1.09	0.274	0.551	0
ENSG00000085377	1330	-0.0243	0.112	-0.216	0.829	0.934	0
ENSG00000029639	791	-0.161	0.124	-1.3	0.193	0.452	0
ENSG00000203809	49.5	0.0834	0.365	0.229	0.819	0.93	0
ENSG00000112249	5430	-0.0338	0.108	-0.314	0.754	0.896	0
ENSG00000279170	363	0.0627	0.2	0.313	0.754	0.897	0
ENSG00000132424	7830	0.237	0.167	1.42	0.156	0.4	0
ENSG00000132423	343	-0.482	0.157	-3.07	0.00217	0.0202	0
ENSG00000185960	66	0.436	0.313	1.39	0.163	0.409	0
ENSG00000112234	971	0.0371	0.118	0.314	0.754	0.896	0
ENSG00000146263	1930	-0.217	0.13	-1.67	0.0955	0.299	0
ENSG00000123545	866	-0.213	0.189	-1.13	0.259	0.535	0
ENSG00000014123	930	0.187	0.121	1.55	0.12	0.344	0
ENSG00000287578	4.14	0.211	1.15	0.184	0.854		0
ENSG00000135604	1.89	-0.901	1.69	-0.532	0.595		1
ENSG00000261366	43.7	0.544	0.432	1.26	0.208	0.471	0
ENSG00000289081	4.42	0.299	1.2	0.248	0.804		0
ENSG00000112182	530	-0.451	0.139	-3.25	0.00116	0.0124	0
ENSG00000083099	996	-0.0561	0.122	-0.459	0.647	0.843	0
ENSG00000135299	350	0.484	0.16	3.02	0.00253	0.0226	0
ENSG00000025039	865	0.169	0.125	1.35	0.176	0.427	0
ENSG00000198833	540	0.0137	0.142	0.0963	0.923	0.971	0
ENSG00000288009	2.34	0.657	1.61	0.408	0.684		0
ENSG00000154548	629	0.625	0.129	4.83	1.37e-06	4e-05	0
ENSG00000146278	2300	-0.135	0.118	-1.15	0.25	0.525	0
ENSG00000288722	108	-0.138	0.268	-0.517	0.605	0.817	0
ENSG00000289931	9.59	0.621	0.921	0.674	0.5	0.748	0
ENSG00000111880	1410	0.0578	0.112	0.515	0.606	0.818	0
ENSG00000225366	522	-2.04	0.208	-9.8	1.18e-22	2.74e-20	0
ENSG00000148334	1120	-0.268	0.117	-2.29	0.0222	0.114	0
ENSG00000135334	762	-0.137	0.126	-1.09	0.277	0.554	0
ENSG00000203872	79.6	0.488	0.372	1.31	0.19	0.448	0
ENSG00000164411	49.3	-0.213	0.343	-0.62	0.535	0.773	0
ENSG00000288021	2.47	0.751	1.49	0.504	0.614		0
ENSG00000135316	11300	-0.374	0.101	-3.7	0.000214	0.00318	0
ENSG00000135318	6.82	-0.615	0.893	-0.689	0.491		0
ENSG00000135315	1120	0.0273	0.15	0.182	0.855	0.946	0
ENSG00000135324	54.9	-1.07	0.35	-3.07	0.00215	0.0201	0
ENSG00000065615	427	-0.184	0.146	-1.26	0.209	0.473	0
ENSG00000203877	5.59	-2.02	1.16	-1.74	0.0825		0
ENSG00000228113	1.76	-0.593	1.77	-0.335	0.737		1
ENSG00000146250	20.1	-0.264	0.542	-0.488	0.626	0.83	0
ENSG00000065833	56.8	-0.311	0.337	-0.925	0.355	0.633	0
ENSG00000013392	234	0.175	0.185	0.944	0.345	0.622	0
ENSG00000083097	1260	0.221	0.12	1.85	0.0642	0.232	0
ENSG00000106261	3020	0.46	0.117	3.94	8.12e-05	0.00138	0
ENSG00000005700	1830	-0.312	0.107	-2.92	0.00353	0.0292	0
ENSG00000105821	2510	-0.278	0.115	-2.42	0.0155	0.0881	0
ENSG00000112773	121	0.0324	0.256	0.127	0.899	0.961	0
ENSG00000106617	346	-0.31	0.17	-1.82	0.0682	0.241	0
ENSG00000146733	919	-0.183	0.124	-1.47	0.14	0.377	0
ENSG00000260645	123	0.582	0.289	2.01	0.0443	0.182	0
ENSG00000233967	330	0.366	0.262	1.4	0.163	0.409	0
ENSG00000083123	816	0.115	0.175	0.659	0.51	0.755	0
ENSG00000287811	92.1	-0.145	0.33	-0.44	0.66	0.852	0
ENSG00000135338	427	0.128	0.144	0.888	0.374	0.651	0
ENSG00000104361	36.9	-0.221	0.41	-0.538	0.59	0.809	0
ENSG00000231533	3.19	1.13	1.43	0.785	0.432		1
ENSG00000146247	12000	-0.0697	0.0972	-0.717	0.473	0.729	0
ENSG00000271945	27.5	-1.11	0.515	-2.16	0.031	0.143	0
ENSG00000237153	1.76	0.424	1.98	0.214	0.83		2
ENSG00000112706	3.74	-1.08	1.23	-0.88	0.379		0
ENSG00000196586	3590	0.543	0.107	5.08	3.71e-07	1.23e-05	0
ENSG00000112701	4790	-0.102	0.109	-0.929	0.353	0.63	0
ENSG00000118407	2890	0.803	0.105	7.64	2.18e-14	2.41e-12	0
ENSG00000225793	88.1	0.676	0.335	2.02	0.0433	0.18	0
ENSG00000112695	2610	-0.258	0.389	-0.663	0.507	0.753	0
ENSG00000176402	37	-0.398	0.428	-0.931	0.352	0.629	0
ENSG00000231652	2.76	-1.05	1.59	-0.664	0.507		2
ENSG00000119899	287	-0.0242	0.187	-0.129	0.897	0.961	0
ENSG00000156508	222000	-0.0158	0.128	-0.123	0.902	0.962	0
ENSG00000080007	3.17	-1.12	1.39	-0.804	0.421		0
ENSG00000203908	1.18	-1.82	2.31	-0.788	0.431		1
ENSG00000203909	2.9	-2.21	1.51	-1.47	0.143		0
ENSG00000229852	196	0.272	0.197	1.38	0.168	0.416	0
ENSG00000056998	1250	-0.184	0.138	-1.33	0.183	0.438	0
ENSG00000256980	1.01	1.11	2.3	0.481	0.631		1
ENSG00000185760	5.01	-0.757	1.06	-0.711	0.477		0
ENSG00000112280	549	-0.0825	0.151	-0.546	0.585	0.806	0
ENSG00000082293	4.57	3.34	1.47	2.27	0.023		1
ENSG00000168216	538	-0.0115	0.141	-0.0816	0.935	0.976	0
ENSG00000289611	4.41	-0.248	1.15	-0.215	0.83		0
ENSG00000135298	43.4	-0.315	0.388	-0.813	0.416	0.687	0
ENSG00000273820	278	-0.042	0.173	-0.243	0.808	0.925	0
ENSG00000214558	19.1	-0.000371	0.543	-0.000684	0.999	1	0
ENSG00000285976	512	0.849	1.92	0.441	0.659	0.852	0
ENSG00000266680	26.2	0.994	0.487	2.04	0.0412	0.174	0
ENSG00000112245	3350	-0.0548	0.34	-0.161	0.872	0.953	0
ENSG00000198225	10.2	-0.327	0.792	-0.413	0.679	0.862	0
ENSG00000250686	1.53	0.959	1.83	0.525	0.599		0
ENSG00000225096	2.48	0.609	1.63	0.374	0.709		1
ENSG00000146143	1880	-0.199	0.11	-1.82	0.0692	0.243	0
ENSG00000112208	400	-0.293	0.159	-1.84	0.0657	0.235	0
ENSG00000112200	4500	-0.126	0.0995	-1.27	0.206	0.469	0
ENSG00000168116	1430	-0.327	0.112	-2.94	0.00332	0.028	0
ENSG00000151917	118	-0.406	0.242	-1.68	0.0936	0.295	0
ENSG00000146151	5.17	-0.444	1.14	-0.389	0.698		0
ENSG00000137252	5	0.797	1.2	0.663	0.508		0
ENSG00000235050	0.768	-0.692	2.68	-0.258	0.796		2
ENSG00000124743	13.9	-0.428	0.635	-0.675	0.5	0.748	0
ENSG00000001084	1460	-0.494	0.124	-3.99	6.72e-05	0.00117	0
ENSG00000012660	3030	-0.0331	0.128	-0.259	0.796	0.919	0
ENSG00000170899	448	0.318	0.159	2	0.0454	0.185	0
ENSG00000096092	117	0.0209	0.26	0.0803	0.936	0.976	0
ENSG00000225791	46	0.237	0.368	0.644	0.519	0.762	0
ENSG00000289276	30.3	0.124	0.532	0.233	0.816	0.929	0
ENSG00000096093	432	0.153	0.158	0.97	0.332	0.61	0
ENSG00000290685	21.9	-1.09	0.534	-2.05	0.0405	0.172	0
ENSG00000104518	493	-0.119	0.143	-0.827	0.408	0.68	0
ENSG00000170927	9.24	-0.535	0.807	-0.662	0.508	0.754	0
ENSG00000008196	28.1	3.26	0.672	4.86	1.2e-06	3.52e-05	0
ENSG00000119397	1560	0.398	0.141	2.83	0.00471	0.0364	0
ENSG00000146085	891	0.118	0.139	0.845	0.398	0.672	0
ENSG00000270761	14.7	-0.391	0.611	-0.64	0.522	0.764	0
ENSG00000146072	1180	-0.0671	0.125	-0.538	0.59	0.809	0
ENSG00000128513	1060	0.187	0.151	1.23	0.218	0.484	0
ENSG00000164674	9.69	0.124	0.772	0.16	0.873	0.953	0
ENSG00000146070	176	0.327	0.229	1.43	0.154	0.397	0
ENSG00000180113	4.85	0.815	1.16	0.703	0.482		0
ENSG00000153291	154	0.456	0.274	1.67	0.0956	0.299	0
ENSG00000271830	5.93	0.416	1.07	0.388	0.698		0
ENSG00000146233	37	0.352	0.407	0.864	0.387	0.662	0
ENSG00000172348	126	0.0652	0.239	0.273	0.785	0.913	0
ENSG00000001561	290	0.268	0.171	1.57	0.118	0.34	0
ENSG00000231769	6.41	-0.0505	0.982	-0.0515	0.959		1
ENSG00000287549	1.71	-0.63	1.77	-0.356	0.722		1
ENSG00000112782	32.6	-0.64	0.478	-1.34	0.181	0.434	0
ENSG00000196284	464	0.368	0.145	2.55	0.0109	0.0677	0
ENSG00000146221	3.6	1.7	1.35	1.26	0.208		1
ENSG00000157593	486	-0.275	0.172	-1.6	0.11	0.325	0
ENSG00000262179	12.6	0.0911	0.675	0.135	0.893	0.959	0
ENSG00000137216	1100	0.079	0.139	0.566	0.571	0.798	0
ENSG00000287562	205	-0.0142	0.222	-0.0639	0.949	0.981	0
ENSG00000290319	2.2	-1.17	1.77	-0.663	0.507		1
ENSG00000181577	10.4	0.375	0.822	0.457	0.648	0.844	0
ENSG00000289609	10.1	-0.893	0.766	-1.17	0.243	0.515	0
ENSG00000237686	23.5	0.0493	0.552	0.0893	0.929	0.974	0
ENSG00000198963	79.2	-1.49	0.309	-4.83	1.33e-06	3.9e-05	0
ENSG00000172426	8.72	1.46	0.809	1.8	0.0713	0.248	0
ENSG00000124688	462	-0.234	0.18	-1.3	0.193	0.453	0
ENSG00000172432	833	-0.0696	0.139	-0.499	0.618	0.825	0
ENSG00000124571	4370	-0.275	0.118	-2.33	0.02	0.106	0
ENSG00000171453	782	-0.17	0.152	-1.12	0.261	0.537	0
ENSG00000171462	3.51	-1.93	1.39	-1.38	0.166		0
ENSG00000124574	413	0.138	0.149	0.929	0.353	0.63	0
ENSG00000156735	3790	-0.0947	0.103	-0.923	0.356	0.633	0
ENSG00000287055	2.61	0.16	1.4	0.114	0.909		0
ENSG00000171467	1800	0.244	0.121	2.02	0.0436	0.181	0
ENSG00000146216	49.2	0.614	0.357	1.72	0.0858	0.279	0
ENSG00000112659	296	0.663	0.193	3.44	0.00058	0.00713	0
ENSG00000272170	5.97	-0.0956	0.982	-0.0974	0.922		0
ENSG00000112651	674	-0.333	0.151	-2.21	0.0273	0.131	0
ENSG00000137171	510	0.0788	0.157	0.502	0.615	0.824	0
ENSG00000044090	870	0.756	0.133	5.7	1.17e-08	5.59e-07	0
ENSG00000272223	5.48	1.42	1.17	1.22	0.224		1
ENSG00000124541	1090	-0.464	0.118	-3.93	8.35e-05	0.00142	0
ENSG00000124733	2990	-0.354	0.191	-1.85	0.0637	0.231	0
ENSG00000124713	14.3	0.652	0.631	1.03	0.301	0.581	0
ENSG00000137161	1470	0.19	0.15	1.27	0.206	0.469	0
ENSG00000112624	1280	-0.0754	0.116	-0.652	0.514	0.758	0
ENSG00000229582	4.41	0.0772	1.12	0.069	0.945		0
ENSG00000024048	2300	-0.0936	0.103	-0.911	0.363	0.64	0
ENSG00000137221	802	0.0395	0.126	0.314	0.753	0.896	0
ENSG00000124496	1690	-0.293	0.115	-2.55	0.0107	0.0669	0
ENSG00000048544	928	-0.139	0.126	-1.1	0.27	0.547	0
ENSG00000112599	31.2	1.3	0.474	2.75	0.00588	0.0433	0
ENSG00000188112	2800	0.172	0.109	1.57	0.117	0.338	0
ENSG00000137413	1350	0.255	0.114	2.24	0.0248	0.123	0
ENSG00000127081	662	0.326	0.134	2.44	0.0148	0.0853	0
ENSG00000112576	266	-0.217	0.175	-1.24	0.215	0.48	0
ENSG00000124641	843	-0.37	0.126	-2.94	0.00323	0.0274	0
ENSG00000112561	14.2	0.216	0.614	0.352	0.725	0.884	0
ENSG00000112559	364	0.444	0.156	2.85	0.00441	0.0346	0
ENSG00000124731	0.633	0.551	2.86	0.193	0.847		2
ENSG00000290034	2.41	1.05	1.75	0.596	0.551		1
ENSG00000290554	127	0.516	0.286	1.8	0.0713	0.248	0
ENSG00000001167	3320	0.166	0.1	1.66	0.0975	0.303	0
ENSG00000156564	21.6	0.441	0.518	0.851	0.395	0.67	0
ENSG00000226070	29.2	-0.0608	0.509	-0.119	0.905	0.963	0
ENSG00000204091	19.9	-0.211	0.532	-0.396	0.692	0.868	0
ENSG00000233242	2.78	0.7	1.44	0.487	0.626		0
ENSG00000235033	7.79	0.168	0.975	0.172	0.863	0.949	0
ENSG00000146122	87.2	-0.564	0.283	-2	0.0459	0.187	0
ENSG00000164626	676	-0.509	0.142	-3.58	0.000345	0.0047	0
ENSG00000112175	1.83	-1.06	1.89	-0.562	0.574		1
